city,gender,age,practice_traditional_food,health_factor
Bandung,Female,33,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,27,Strongly Agree,Neither agree nor disagree
Bandung,Male,35,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,36,Neither agree nor disagree,Agree
Bandung,Male,26,Agree,Agree
Bandung,Female,63,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,26,Strongly Agree,Strongly Agree
Bandung,Male,30,Agree,Disagree
Bandung,Female,34,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,32,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,33,Neither agree nor disagree,Strongly Agree
Bandung,Male,31,Neither agree nor disagree,Disagree
Bandung,Female,32,Disagree,Agree
Bandung,Female,31,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,27,Strongly Agree,Neither agree nor disagree
Bandung,Male,28,Agree,Agree
Bandung,Female,56,Disagree,Disagree
Bandung,Female,55,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,47,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,28,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,48,Agree,Agree
Bandung,Female,29,Disagree,Disagree
Bandung,Female,39,Agree,Agree
Bandung,Female,53,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,57,Neither agree nor disagree,Strongly Disagree
Bandung,Female,46,Strongly Agree,Strongly Agree
Bandung,Female,53,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,58,Neither agree nor disagree,Strongly Disagree
Bandung,Female,45,Agree,Disagree
Bandung,Male,54,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,35,Strongly Agree,Strongly Agree
Bandung,Female,29,Agree,Strongly Disagree
Bandung,Female,29,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,62,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,54,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,37,Disagree,Disagree
Bandung,Female,39,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,28,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,31,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,28,Agree,Agree
Bandung,Female,33,Disagree,Agree
Bandung,Female,64,Agree,Agree
Bandung,Female,54,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,62,Neither agree nor disagree,Strongly Agree
Bandung,Male,50,Strongly Agree,Strongly Agree
Bandung,Male,38,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,33,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,27,Agree,Agree
Bandung,Female,43,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,49,Strongly Agree,Strongly Agree
Bandung,Female,40,Agree,Agree
Bandung,Male,35,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,29,Strongly Agree,Strongly Agree
Bandung,Female,57,Strongly Agree,Strongly Agree
Bandung,Female,34,Strongly Agree,Strongly Agree
Bandung,Female,28,Disagree,Disagree
Bandung,Female,34,Neither agree nor disagree,Disagree
Bandung,Male,55,Strongly Agree,Strongly Agree
Bandung,Male,46,Agree,Agree
Bandung,Female,30,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,41,Disagree,Disagree
Bandung,Male,26,Neither agree nor disagree,Strongly Agree
Bandung,Female,29,Agree,Agree
Bandung,Male,31,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,36,Agree,Neither agree nor disagree
Bandung,Male,52,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,60,Strongly Agree,Strongly Agree
Bandung,Female,54,Strongly Agree,Neither agree nor disagree
Bandung,Female,41,Strongly Agree,Disagree
Bandung,Female,60,Strongly Agree,Strongly Agree
Bandung,Female,27,Agree,Agree
Bandung,Female,52,Disagree,Disagree
Bandung,Female,56,Agree,Agree
Bandung,Female,45,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,30,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,61,Strongly Agree,Strongly Agree
Bandung,Male,25,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,25,Neither agree nor disagree,Neither agree nor disagree
Bandung,Female,26,Agree,Agree
Bandung,Female,36,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,52,Strongly Agree,Strongly Agree
Bandung,Male,64,Agree,Neither agree nor disagree
Bandung,Female,54,Neither agree nor disagree,Strongly Agree
Bandung,Male,40,Neither agree nor disagree,Strongly Agree
Bandung,Male,60,Neither agree nor disagree,Neither agree nor disagree
Bandung,Male,35,Strongly Agree,Strongly Agree
Bandung,Female,56,Strongly Agree,Strongly Agree
Bandung,Male,49,Strongly Agree,Neither agree nor disagree
Surabaya,Female,38,Strongly Agree,Strongly Agree
Surabaya,Male,31,Agree,Agree
Surabaya,Female,36,Neither agree nor disagree,Agree
Surabaya,Female,52,Strongly Agree,Neither agree nor disagree
Surabaya,Female,59,Strongly Agree,Strongly Agree
Surabaya,Female,43,Agree,Agree
Surabaya,Male,47,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,28,Strongly Agree,Strongly Agree
Surabaya,Male,48,Strongly Agree,Strongly Agree
Surabaya,Male,36,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,39,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,53,Agree,Agree
Surabaya,Male,57,Strongly Agree,Strongly Agree
Surabaya,Male,46,Agree,Neither agree nor disagree
Surabaya,Male,53,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,58,Strongly Agree,Strongly Agree
Surabaya,Female,62,Strongly Agree,Neither agree nor disagree
Surabaya,Female,54,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,43,Strongly Agree,Strongly Agree
Surabaya,Male,32,Strongly Agree,Neither agree nor disagree
Surabaya,Male,42,Strongly Agree,Disagree
Surabaya,Male,38,Strongly Agree,Strongly Agree
Surabaya,Male,41,Agree,Agree
Surabaya,Male,45,Neither agree nor disagree,Disagree
Surabaya,Male,32,Neither agree nor disagree,Strongly Agree
Surabaya,Male,26,Neither agree nor disagree,Agree
Surabaya,Male,31,Strongly Agree,Neither agree nor disagree
Surabaya,Male,25,Agree,Agree
Surabaya,Female,37,Strongly Agree,Strongly Agree
Surabaya,Female,63,Strongly Agree,Neither agree nor disagree
Surabaya,Female,40,Agree,Agree
Surabaya,Female,37,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,38,Disagree,Disagree
Surabaya,Female,61,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,32,Agree,Agree
Surabaya,Female,27,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,62,Agree,Neither agree nor disagree
Surabaya,Female,37,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,49,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,33,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,42,Strongly Agree,Strongly Agree
Surabaya,Female,30,Strongly Agree,Strongly Agree
Surabaya,Female,50,Strongly Agree,Strongly Agree
Surabaya,Female,35,Agree,Agree
Surabaya,Male,42,Neither agree nor disagree,Strongly Agree
Surabaya,Female,28,Disagree,Agree
