id,name,calories,proteins,fat,carbohydrate
485,Ikan papuyu/ betok segar,120.0,14.3,4.9,4.6
486,Ikan Patin bakar,144.0,17.5,6.3,4.3
487,Ikan Patin segar,132.0,17.0,6.6,1.1
488,Ikan peda banjar mentah,156.0,28.0,4.0,2.0
489,Ikan Pepetek,176.0,32.0,4.4,0.0
490,Ikan Pindang banjar mentah,157.0,28.0,4.2,1.8
491,Ikan Pindang benggol mentah,170.0,31.0,4.2,0.0
492,Ikan Pindang layang mentah,153.0,30.0,2.8,0.0
493,Ikan Pindang selar mentah,142.0,27.0,3.0,0.0
494,Ikan sale lais mentah,415.0,61.3,17.6,2.9
495,Ikan Sale segar,534.0,40.2,39.3,4.9
496,Ikan saluang kering mentah,284.0,34.1,9.9,14.6
497,Ikan saluang segar,113.0,13.9,4.9,3.4
