a1_city,a2_province,b3_gender,b4_age,b5_religion,b6_ethnic,b7_education_level,b8_lived_in_urban_area_years,b9_occupation,b10_social_clas,b11_household_member,c12_household_income_monthly_in_million_idr,c13_time_of_income_receipt,c14_household_expenditure_monthly_in_million_idr,c15_%_monthly_expenditure_for_food,d16_health_factor,d17_price_factor,e18_religious_value_in_type_of_food,e19_religious_value_in_eating_places,e20_religious_value_in_consumption_pattern,e21_custom_value_in_type_of_food,e22_custom_value_in_eating_places,e23_custom_value_in_consumption_pattern,24_practice_of_food_consumption_based_on_religious_rules,25_practice_of_food_consumption_based_on_custom_rules,e26_buying_food_product_in_the_right_place_based_on_religious_rules,e27_type_of_dishes_variation_based_on_religious_rules,e28_practice_of_consuming_traditional_food
Jakarta,DKI Jakarta,Male,31,Islam,Java,Bachelor degree,31,Government Employees,Lower Class,6,03:06:00,Daily,03:02:00,58,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,27,Islam,Sunda,Bachelor degree,27,Private Employees,Middle Class,6,05:07:00,Weekly,05:03:00,44,Disagree,Disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree,Disagree
Jakarta,DKI Jakarta,Female,37,Islam,Java,Bachelor degree,37,Private Employees,Middle Class,6,06:04:00,Weekly,06:00:00,35,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,36,Islam,Java,Senior High School,16,Private Employees,Lower Class,5,03:04:00,Daily,03:00:00,59,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree,Disagree
Jakarta,DKI Jakarta,Male,38,Islam,Java,Diploma,18,Private Employees,Lower Class,6,02:09:00,Daily,02:05:00,65,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Jakarta,DKI Jakarta,Female,63,Protestant,Bugis,Senior High School,23,Enterpreneur,Middle Class,5,05:06:00,Weekly,05:02:00,41,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree,Disagree
Jakarta,DKI Jakarta,Male,40,Protestant,Other,Senior High School,20,Enterpreneur,Upper Class,5,11:02:00,Monthly,10:08:00,26,Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,30,Islam,Java,Bachelor degree,30,Enterpreneur,Lower Class,6,03:07:00,Daily,03:03:00,76,Neither agree nor disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,33,Islam,Java,Master and doctoral degree,33,Enterpreneur,Upper Class,6,10:06:00,Monthly,10:02:00,22,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,29,Islam,Java,Bachelor degree,29,Enterpreneur,Upper Class,7,11:02:00,Monthly,11:01:00,18,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
